DU2076 Bonus Cap Certificate — N=200-Step Binomial Tree
Date      : 2025-09-04
S0        : 1707.93 EUR
K (cap)   : 2000.00 EUR
B (barrier): 1050.00 EUR
sigma     : 0.3898  (38.98% p.a.)
r         : 0.0334  (3.34% p.a.)
T         : 1.7851 years
dt        : 0.008925 years
u         : 1.037515
d         : 0.963842
q (risk-neutral prob): 0.494186
Total nodes: 20,301
======================================================================
  Step  UpMoves      S(n,j) EUR   V_cert(n,j) EUR  Status
    24        3        880.1853          858.2215  KNOCKED OUT
    24        4        947.4636          918.1132  KNOCKED OUT
    24        5       1019.8843          980.4589  KNOCKED OUT
    24        6       1097.8406         1073.0282  alive
    24        7       1181.7556         1166.8724  alive
    24        8       1272.0848         1259.8209  alive
    24        9       1369.3184         1349.7566  alive
    24       10       1473.9842         1434.7651  alive
    24       11       1586.6502         1513.2583  alive
    24       12       1707.9281         1584.0608  alive
    24       13       1838.4760         1646.4513  alive
    24       14       1979.0025         1700.1610  alive
    24       15       2130.2704         1745.3316  alive
    24       16       2293.1007         1782.4451  alive
    24       17       2468.3771         1812.2358  alive
    24       18       2657.0510         1835.5969  alive
    24       19       2860.1465         1853.4932  alive
    24       20       3078.7658         1866.8861  alive
    24       21       3314.0957         1876.6766  alive
    24       22       3567.4133         1883.6676  alive
    24       23       3840.0936         1888.5433  alive
    24       24       4133.6166         1891.8644  alive
    25        0        680.1658          671.2561  KNOCKED OUT
    25        1        732.1552          720.9804  KNOCKED OUT
    25        2        788.1186          773.7506  KNOCKED OUT
    25        3        848.3595          829.5111  KNOCKED OUT
    25        4        913.2051          888.1251  KNOCKED OUT
    25        5        983.0072          949.3607  KNOCKED OUT
    25        6       1058.1448         1027.0025  alive
    25        7       1139.0256         1120.7842  alive
    25        8       1226.0886         1214.7490  alive
    25        9       1319.8064         1306.7133  alive
    25       10       1420.6877         1394.6269  alive
    25       11       1529.2800         1476.7132  alive
    25       12       1646.1727         1551.5762  alive
    25       13       1772.0002         1618.2652  alive
    25       14       1907.4456         1676.2938  alive
    25       15       2053.2439         1725.6154  alive
    25       16       2210.1865         1766.5646  alive
    25       17       2379.1253         1799.7746  alive
    25       18       2560.9771         1826.0834  alive
    25       19       2756.7290         1846.4416  alive
    25       20       2967.4435         1861.8289  alive
    25       21       3194.2643         1873.1885  alive
    25       22       3438.4224         1881.3790  alive
    25       23       3701.2431         1887.1464  alive
    25       24       3984.1529         1891.1124  alive
    25       25       4288.6873         1893.7754  alive
    26        0        655.5723          647.6222  KNOCKED OUT
    26        1        705.6819          695.8511  KNOCKED OUT
    26        2        759.6217          747.1360  KNOCKED OUT
    26        3        817.6845          801.4581  KNOCKED OUT
    26        4        880.1853          858.7245  KNOCKED OUT
    26        5        947.4636          918.7532  KNOCKED OUT
    26        6       1019.8843          981.2610  KNOCKED OUT
    26        7       1097.8406         1074.4397  alive
